id,signal_id,condition_id,asset,outcome,title,score,score_breakdown,unique_wallets,total_usd,wallet_labels,wallet_addresses,reason,size_usd,entry_price,shares,tp_price,sl_price,time_stop_at,exit_strategy,current_price,last_price_at,status,exit_price,exit_reason,pnl_usd,pnl_pct,opened_at,closed_at,breakeven_moved,peak_price,event_id,market_volume_usd,market_liquidity_usd,price_tier,time_to_resolution_hours
3225,851552,0x3d9ac7be742522022dfea06faa0c9e2d47c0c9da3a5a06a7cbe6f85a695d72d9,109975452059787504146477612911973621693581082411633460581641059897999780348367,No,Exact Score: Germany 0 - 1 Côte d'Ivoire?,92.64,"{""burst"": {""score"": 100, ""weight"": 0.05}, ""drift"": {""score"": 100, ""weight"": 0.15}, ""capital"": {""score"": 63.2, ""weight"": 0.2}, ""reversal"": {""bonus"": 0, ""count"": 0}, ""agreement"": {""score"": 100, ""weight"": 0.1}, ""consensus"": {""score"": 100, ""weight"": 0.3}, ""freshness"": {""score"": 100, ""weight"": 0.2}}",4,1444.0373649999997,"[""balthazar"", ""alpheclabs"", ""cigarettes""]","[""0x5a218c7ad04135830a45c41aaed7294df7809318"", ""0xb4d250f58c26840e09723a83ce9c8149aa32ce99"", ""0x076daa87c4fe1a85402a9b6b8e0a866224388d4c"", ""0xd218e474776403a330142299f7796e8ba32eb5c9""]","4 whales (balthazar, alpheclabs, cigarettes) bought $1,444 @ avg 0.897 within 6m, drift -1.6%, score 92.6.",60,0.882,68.02721088435374,0.98784,0.81144,2026-06-21 02:44:09.975+00,TP 0.988 (+12%) · SL 0.811 (-8%) · Time-stop 6h,0.854,2026-06-20 21:06:01.84+00,OPEN,,,,,2026-06-20 20:44:09.999203+00,,f,0.882,510288,62608.83796299998,7124.25687,high,
3224,851538,0x996314a5d1f4f81c0dbe514158b0d5cf5b83dca7837b533c3baf40aba3821eb8,64325963893676129510505275319013322624366296227957837648997967381823037903786,Over,Germany vs. Côte d'Ivoire: O/U 1.5,92.23,"{""burst"": {""score"": 100, ""weight"": 0.05}, ""drift"": {""score"": 100, ""weight"": 0.15}, ""capital"": {""score"": 61.1, ""weight"": 0.2}, ""reversal"": {""bonus"": 0, ""count"": 0}, ""agreement"": {""score"": 100, ""weight"": 0.1}, ""consensus"": {""score"": 100, ""weight"": 0.3}, ""freshness"": {""score"": 100, ""weight"": 0.2}}",4,1138.5979,"[""0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465"", ""cigarettes"", ""balthazar"", ""curie""]","[""0x2c335066fe58fe9237c3d3dc7b275c2a034a0563"", ""0xd218e474776403a330142299f7796e8ba32eb5c9"", ""0x5a218c7ad04135830a45c41aaed7294df7809318"", ""0xd1ed12197b7dc22dede923727e9b714024dbd7cb""]","4 whales (0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465, cigarettes, balthazar…) bought $1,139 @ avg 0.896 within 1m, drift 0.4%, score 92.2.",60,0.9,66.66666666666667,0.99,0.8280000000000001,2026-06-21 02:42:08.453+00,TP 1.008 (+12%) · SL 0.828 (-8%) · Time-stop 6h,0.86,2026-06-20 20:48:01.391+00,CLOSED,0.86,WHALE_REVERSAL,-2.67,-4.44,2026-06-20 20:42:08.469855+00,2026-06-20 20:48:01.391+00,f,0.9,511451,442477.5952059997,89740.4286,high,
3223,851346,0xa902f542ff966fa9443522090800c83584bf22fbc893d6f9e47725319b881439,104950979586338117097819528394824612396315820280965916824703724982490080642992,No,Exact Score: Germany 1 - 1 Côte d'Ivoire?,86.66,"{""burst"": {""score"": 100, ""weight"": 0.05}, ""drift"": {""score"": 100, ""weight"": 0.15}, ""capital"": {""score"": 78.3, ""weight"": 0.2}, ""reversal"": {""bonus"": 0, ""count"": 0}, ""agreement"": {""score"": 100, ""weight"": 0.1}, ""consensus"": {""score"": 70, ""weight"": 0.3}, ""freshness"": {""score"": 100, ""weight"": 0.2}}",3,8242.782762,"[""0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465"", ""cigarettes"", ""alpheclabs""]","[""0x2c335066fe58fe9237c3d3dc7b275c2a034a0563"", ""0xd218e474776403a330142299f7796e8ba32eb5c9"", ""0xb4d250f58c26840e09723a83ce9c8149aa32ce99""]","3 whales (0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465, cigarettes, alpheclabs) bought $8,243 @ avg 0.830 within 3m, drift -0.0%, score 86.7.",60,0.83,72.28915662650603,0.9296000000000001,0.7636,2026-06-21 02:34:08.566+00,TP 0.930 (+12%) · SL 0.764 (-8%) · Time-stop 6h,0.78,2026-06-20 21:06:02.059+00,OPEN,,,,,2026-06-20 20:34:08.58449+00,,f,0.83,510288,117010.71979699977,11146.9864,high,
3222,851090,0x882f04c0972ccb3a08b71f7660dc53ab354edb277752908289fb0700a4d3ba77,16357830788235446168613683255760823497780736126717381767328935056879873707573,Over,Germany vs. Côte d'Ivoire: Germany O/U 0.5,82.93,"{""burst"": {""score"": 100, ""weight"": 0.05}, ""drift"": {""score"": 100, ""weight"": 0.15}, ""capital"": {""score"": 60.1, ""weight"": 0.2}, ""reversal"": {""bonus"": 0, ""count"": 0}, ""agreement"": {""score"": 99.1, ""weight"": 0.1}, ""consensus"": {""score"": 70, ""weight"": 0.3}, ""freshness"": {""score"": 100, ""weight"": 0.2}}",3,1012.895114,"[""alpheclabs"", ""cigarettes"", ""toireK""]","[""0xb4d250f58c26840e09723a83ce9c8149aa32ce99"", ""0xd218e474776403a330142299f7796e8ba32eb5c9"", ""0x15ac9d4fb9c30fca4fec2fdecde3fdace721f3ba""]","3 whales (alpheclabs, cigarettes, toireK) bought $1,013 @ avg 0.884 within 3m, drift -1.6%, score 82.9.",30,0.83,36.144578313253014,0.9296000000000001,0.7636,2026-06-21 02:32:10.541+00,TP 0.930 (+12%) · SL 0.764 (-8%) · Time-stop 6h,0.76,2026-06-20 20:50:02.145+00,CLOSED,0.76,STOP_LOSS,-2.53,-8.43,2026-06-20 20:32:10.564087+00,2026-06-20 20:50:02.145+00,f,0.83,511451,141771.042613,52733.302,high,
3221,851087,0x8b641f32d7dc55f351d04dda8a769bcd085281351449aec09605a3d12548f9e3,26471802515117944793709657434569156698174033301741108880988742782223648508130,No,Germany vs. Côte d'Ivoire: Both Teams to Score in First Half,83.4,"{""burst"": {""score"": 100, ""weight"": 0.05}, ""drift"": {""score"": 100, ""weight"": 0.15}, ""capital"": {""score"": 62, ""weight"": 0.2}, ""reversal"": {""bonus"": 0, ""count"": 0}, ""agreement"": {""score"": 100, ""weight"": 0.1}, ""consensus"": {""score"": 70, ""weight"": 0.3}, ""freshness"": {""score"": 100, ""weight"": 0.2}}",3,1256.8570060000002,"[""alpheclabs"", ""curie"", ""cigarettes""]","[""0xb4d250f58c26840e09723a83ce9c8149aa32ce99"", ""0xd1ed12197b7dc22dede923727e9b714024dbd7cb"", ""0xd218e474776403a330142299f7796e8ba32eb5c9""]","3 whales (alpheclabs, curie, cigarettes) bought $1,257 @ avg 0.838 within 2m, drift -1.0%, score 83.4.",30,0.63,47.61904761904762,0.7056000000000001,0.63,2026-06-21 02:32:10.285+00,TP 0.706 (+12%) · SL 0.580 (-8%) · Time-stop 6h,0.75,2026-06-20 20:42:00.961+00,CLOSED,0.75,TAKE_PROFIT,5.71,19.05,2026-06-20 20:32:10.33332+00,2026-06-20 20:42:00.961+00,t,0.75,511451,24526.412792000006,5673.045,high,
3220,851205,0xb40da97ea499ba892a6e99343d155dae2b41a2797de18312a4e0ee398f628d09,68873381230341390466078235780361212761056061522147154027215162381172129026119,Under,Germany vs. Côte d'Ivoire: 1st Half O/U 0.5,91.85,"{""burst"": {""score"": 100, ""weight"": 0.05}, ""drift"": {""score"": 70, ""weight"": 0.15}, ""capital"": {""score"": 81.8, ""weight"": 0.2}, ""reversal"": {""bonus"": 0, ""count"": 0}, ""agreement"": {""score"": 100, ""weight"": 0.1}, ""consensus"": {""score"": 100, ""weight"": 0.3}, ""freshness"": {""score"": 100, ""weight"": 0.2}}",4,12251.023157000001,"[""alpheclabs"", ""curie"", ""cigarettes""]","[""0x076daa87c4fe1a85402a9b6b8e0a866224388d4c"", ""0xb4d250f58c26840e09723a83ce9c8149aa32ce99"", ""0xd1ed12197b7dc22dede923727e9b714024dbd7cb"", ""0xd218e474776403a330142299f7796e8ba32eb5c9""]","4 whales (alpheclabs, curie, cigarettes) bought $12,251 @ avg 0.458 within 4m, drift 2.7%, score 91.8.",60,0.47,127.65957446808511,0.5405,0.3854,2026-06-21 04:28:08.028+00,TP 0.540 (+15%) · SL 0.385 (-18%) · Time-stop 8h,0,2026-06-20 20:30:02.799+00,CLOSED,0.36613,STOP_LOSS,-13.26,-22.1,2026-06-20 20:28:08.051629+00,2026-06-20 20:30:02.799+00,f,0.47,511451,159163.60069400005,38922.8178,mid,
3219,850731,0x9dd0f1e91584cf0a4edab2dd9c0acb872e7444e3431191954985362386b4d71f,70317903086931024326503736799283440297434278331970831428675363577177636892045,No,Germany vs. Côte d'Ivoire: Both Teams to Score,96.29,"{""burst"": {""score"": 100, ""weight"": 0.05}, ""drift"": {""score"": 100, ""weight"": 0.15}, ""capital"": {""score"": 81.5, ""weight"": 0.2}, ""reversal"": {""bonus"": 0, ""count"": 0}, ""agreement"": {""score"": 100, ""weight"": 0.1}, ""consensus"": {""score"": 100, ""weight"": 0.3}, ""freshness"": {""score"": 100, ""weight"": 0.2}}",4,11841.381099999991,"[""iDARKenjoyer"", ""UpTheBlues"", ""0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6""]","[""0xf68a281980f8c13828e84e147e3822381d6e5b1b"", ""0x2a69660046d7acc4ab204d7cc5ba78b0776cd2f7"", ""0x076daa87c4fe1a85402a9b6b8e0a866224388d4c"", ""0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6""]","4 whales (iDARKenjoyer, UpTheBlues, 0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6) bought $11,841 @ avg 0.427 within 5m, drift -1.7%, score 96.3.",90,0.46,195.65217391304347,0.529,0.46,2026-06-21 04:16:08.811+00,TP 0.529 (+15%) · SL 0.377 (-18%) · Time-stop 8h,0.15,2026-06-20 20:30:02.913+00,CLOSED,0.437,BREAKEVEN_STOP,-4.5,-5,2026-06-20 20:16:08.82739+00,2026-06-20 20:30:02.913+00,t,0.52,511451,818471.675543,33230.3386,mid,
3218,850764,0xe042d8dedadf6b3d1148dafae62610bf1ce58d0678552512c83eeb083b66077e,15377573526008416004682402363132487465277961578406918638810624707111584398274,Under,Germany vs. Côte d'Ivoire: O/U 2.5,97.39,"{""burst"": {""score"": 100, ""weight"": 0.05}, ""drift"": {""score"": 100, ""weight"": 0.15}, ""capital"": {""score"": 87, ""weight"": 0.2}, ""reversal"": {""bonus"": 0, ""count"": 0}, ""agreement"": {""score"": 100, ""weight"": 0.1}, ""consensus"": {""score"": 100, ""weight"": 0.3}, ""freshness"": {""score"": 100, ""weight"": 0.2}}",4,22268.365245,"[""wr0ngw4yb3tt0r"", ""newdogbeginning"", ""UpTheBlues"", ""0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6""]","[""0x224a89dbe0db0d6124b335edabd15b3f877da3d5"", ""0xfea31bc088000ff909be1dfd8d0e3f2c7ef2d227"", ""0x2a69660046d7acc4ab204d7cc5ba78b0776cd2f7"", ""0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6""]","4 whales (wr0ngw4yb3tt0r, newdogbeginning, UpTheBlues…) bought $22,268 @ avg 0.400 within 3m, drift -0.0%, score 97.4.",90,0.45,200,0.5175,0.45,2026-06-21 04:16:08.513+00,TP 0.517 (+15%) · SL 0.369 (-18%) · Time-stop 8h,0.53,2026-06-20 20:26:01.121+00,CLOSED,0.53,TAKE_PROFIT,16,17.78,2026-06-20 20:16:08.52988+00,2026-06-20 20:26:01.121+00,t,0.53,511451,852481.6312140017,126086.8098,mid,
3217,850729,0xb8b6a753602690899932a4df8664a2d0edf1083f442dd0fc78fc2cb2256f1cd9,89091640448799312538672329625381987067711211848499414054213038191567167500706,Yes,Germany leading at halftime?,96.08,"{""burst"": {""score"": 100, ""weight"": 0.05}, ""drift"": {""score"": 100, ""weight"": 0.15}, ""capital"": {""score"": 80.4, ""weight"": 0.2}, ""reversal"": {""bonus"": 0, ""count"": 0}, ""agreement"": {""score"": 100, ""weight"": 0.1}, ""consensus"": {""score"": 100, ""weight"": 0.3}, ""freshness"": {""score"": 100, ""weight"": 0.2}}",4,10476.153574999998,"[""0x3DFb153c197D4C19D3B31c1ecD2c7B6860eeabAf-1722957908185"", ""Zzzz87"", ""ChompChomp888"", ""0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6""]","[""0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf"", ""0x2117ae94a97d69b78cbc81b6680a62deb1955c26"", ""0x842ac934cfff1467f27c167c42c318001e407422"", ""0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6""]","4 whales (0x3DFb153c197D4C19D3B31c1ecD2c7B6860eeabAf-1722957908185, Zzzz87, ChompChomp888…) bought $10,476 @ avg 0.521 within 5m, drift -0.1%, score 96.1.",90,0.52,173.07692307692307,0.598,0.42640000000000006,2026-06-20 21:58:07.338+00,TP 0.598 (+15%) · SL 0.426 (-18%) · Time-stop 2h,0.51,2026-06-20 20:00:02.178+00,CLOSED,0.51,WHALE_REVERSAL,-1.73,-1.92,2026-06-20 19:58:07.356128+00,2026-06-20 20:00:02.178+00,f,0.52,510287,599182.3242880001,325790.2803,mid,0.031295
3216,850142,0x051e0ea5b3c394114eacf8ce5e944ca63cbb6ccdef1d086cadc5dd129a3804e6,91234906493805354217250440222911012200186057450151286874925972448339630680686,Yes,Will Japan win on 2026-06-21?,80.6,"{""burst"": {""score"": 100, ""weight"": 0.05}, ""drift"": {""score"": 100, ""weight"": 0.15}, ""capital"": {""score"": 93, ""weight"": 0.2}, ""reversal"": {""bonus"": 0, ""count"": 0}, ""agreement"": {""score"": 100, ""weight"": 0.1}, ""consensus"": {""score"": 40, ""weight"": 0.3}, ""freshness"": {""score"": 100, ""weight"": 0.2}}",2,44604.508754999995,"[""0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6"", ""cnyek""]","[""0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6"", ""0x65018f9fc473f6e920b8929a375d39c26a461220""]","2 whales (0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6, cnyek) bought $44,605 @ avg 0.650 within 3m, drift -1.5%, score 80.6.",30,0.65,46.15384615384615,0.7280000000000001,0.5980000000000001,2026-06-20 21:46:36.694+00,TP 0.728 (+12%) · SL 0.598 (-8%) · Time-stop 2.074380138888889h,0.66,2026-06-20 20:16:01.223+00,CLOSED,0.66,WHALE_REVERSAL,0.46,1.54,2026-06-20 19:42:08.947447+00,2026-06-20 20:16:01.223+00,f,0.66,351750,1460997.4410140112,1186207.2377,high,8.297520555555556
