address,label,is_active,tracked_tier,tracked_score,auto_disabled_reason,total_trades,closed_positions,winning_positions,losing_positions,win_rate,avg_roi_pct,total_pnl_usd,total_volume_usd,unique_markets,last_30d_trades,last_trade_at,perf_score,perf_tier,computed_at
0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,bobe2,t,A,79.4,,3005,11,10,1,0.9091,5.19,67565.09,9240006.06,49,258,2026-05-06 00:23:24+00,79.4,A,2026-05-07 05:28:35.689+00
0xb45a797faa52b0fd8adc56d30382022b7b12192c,bcda,t,A,75.3,,3500,8,6,2,0.75,64.1,155777.96,313647.42,8,197,2026-05-01 20:28:56+00,75.3,A,2026-05-07 05:27:47.372+00
0xa2cced8bfae7d645f7f437fb76becf2fcbb70cbc,justwins,t,A,74.1,,277,3,3,0,1,94.8,282426.79,311510.66,4,91,2026-05-06 19:55:42+00,74.1,A,2026-05-07 05:27:39.065+00
0xfea31bc088000ff909be1dfd8d0e3f2c7ef2d227,newdogbeginning,t,A,73.7,,1769,6,4,2,0.6667,1.27,26403.15,2899428.63,64,1323,2026-05-07 03:55:54+00,73.7,A,2026-05-07 05:28:47.819+00
0x492442eab586f242b53bda933fd5de859c8a3782,0x492442EaB586F242B53bDa933fD5dE859c8A3782-1766317541188,t,A,71.6,,3500,2,2,0,1,95.7,102834.64,106587.94,2,347,2026-05-07 00:56:51+00,71.6,A,2026-05-07 05:26:44.859+00
0xbaa2bcb5439e985ce4ccf815b4700027d1b92c73,denizz,t,A,70.8,,3500,6,4,2,0.6667,-2.52,241727.85,1329848.34,59,1525,2026-05-07 00:13:51+00,70.8,A,2026-05-07 05:27:52.848+00
0x68c24bf4a8ad4d79a6fe4b8eec6f93a02dfd1711,mombil,t,A,69.3,,3500,13,8,5,0.6154,7.59,57047.03,453058.77,153,787,2026-05-06 20:43:41+00,69.3,A,2026-05-07 05:27:06.315+00
0x0b9cae2b0dfe7a71c413e0604eaac1c352f87e44,geniusMC,t,A,65,,3500,3,3,0,1,8.09,360735.06,375863.46,10,24,2026-05-04 01:27:18+00,65,A,2026-05-07 05:26:14.488+00
0x06dc51826bc524d9a83770e7de9dd7e005b04524,0x06dc51826bc524d9a83770e7de9dd7e005b0452,t,A,59,,3500,335,106,229,0.3164,-77.02,31788.59,404670.02,516,3500,2026-05-07 05:13:55+00,59,A,2026-05-07 05:26:12.144+00
0x5966db1fe50763c9e3c014d756369bad07e1f804,0x5966Db1fE50763C9e3C014d756369BAd07E1F804-1777648534241,t,A,58.2,,37,16,11,5,0.6875,-1.76,41315.1,123969.53,16,37,2026-05-06 18:35:47+00,58.2,A,2026-05-07 05:26:53.549+00
0x72a0d79b4325638bc2bcfc9a2b8a380c2d81c059,0x72a0d79b4325638bc2bcfc9a2b8a380c2d81c059,t,A,57.7,,2038,3,2,1,0.6667,-11.23,47786.21,354240.43,62,2038,2026-05-07 03:04:18+00,57.7,A,2026-05-07 05:27:11.183+00
0x9703676286b93c2eca71ca96e8757104519a69c2,TheMangler,t,A,57.7,,2018,724,217,507,0.2997,-99.78,2748751.54,1219430.02,780,8,2026-04-17 15:10:02+00,57.7,A,2026-05-07 05:27:32.14+00
0xe3aa8375255a77e1738667060115f4ceab394830,XingZeng,t,A,57.4,,32,7,4,3,0.5714,9.99,62536.71,336945.82,7,32,2026-05-05 00:01:20+00,57.4,A,2026-05-07 05:28:17.334+00
0xd218e474776403a330142299f7796e8ba32eb5c9,cigarettes,t,A,57.3,,3500,390,161,229,0.4128,-27.51,321267.39,231082.9,1922,3394,2026-05-06 23:35:20+00,57.3,A,2026-05-07 05:28:06.757+00
0x49007e1e636d0e922d0122a02ea743e41d194a72,08AF,t,A,56.9,,3350,1,1,0,1,14.72,12544.02,240567,7,1157,2026-05-07 03:53:29+00,56.9,A,2026-05-07 05:26:44.136+00
0x594edb9112f526fa6a80b8f858a6379c8a2c1c11,ColdMath,t,A,55.5,,3500,2216,842,1374,0.38,-97.75,243855.87,45430.3,1428,3500,2026-05-06 17:32:33+00,55.5,A,2026-05-07 05:26:53.382+00
0x6e1d5040d0ac73709b0621f620d2a60b80d2d0fa,0x6E1d5040d0ac73709B0621F620d2a60b80d2D0F,t,B,53.3,,3500,45,26,19,0.5778,-26.06,68921.52,508113.16,145,3500,2026-05-07 05:21:04+00,53.3,B,2026-05-07 05:27:10.267+00
0xf68a281980f8c13828e84e147e3822381d6e5b1b,iDARKenjoyer,t,B,51.4,,3500,40,24,16,0.6,12.45,-537.17,744057.45,164,701,2026-05-07 01:51:22+00,51.4,B,2026-05-07 05:28:39.65+00
0xead152b855effa6b5b5837f53b24c0756830c76a,elkmonkey,t,B,50.4,,3500,0,0,0,0,0,183968.11,680514.82,43,3500,2026-05-04 00:46:48+00,50.4,B,2026-05-07 05:28:33.904+00
0xacb206b460a17382a734de8d931cc176307eb989,AppleTime67,t,B,49.1,,465,3,3,0,1,76.69,-2572.09,70441.63,16,291,2026-05-07 01:33:13+00,49.1,B,2026-05-07 05:27:44.296+00
0x87650b9f63563f7c456d9bbcceee5f9faf06ed81,2B9S,t,B,49.1,,3500,2882,233,2649,0.0808,-90.7,35238.48,77264.61,5000,10,2026-05-05 01:06:54+00,49.1,B,2026-05-07 05:27:25.9+00
0x2663daca3cecf3767ca1c3b126002a8578a8ed1f,Q96s3kwozynxpau,t,B,46.6,,2677,0,0,0,0,0,52009.89,156713.46,147,102,2026-05-02 01:17:32+00,46.6,B,2026-05-07 05:26:29.325+00
0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,aenews2,t,B,45.4,,3500,11,6,5,0.5455,-20.44,47601.15,266145.75,47,293,2026-05-06 23:50:40+00,45.4,B,2026-05-07 05:26:43.345+00
0x4478d7bd8a295691ac84f60a5ec2b47e122102a4,Warren-Buffett,t,B,43.9,,3500,7,4,3,0.5714,8,9856.03,71329.79,25,498,2026-05-06 20:45:12+00,43.9,B,2026-05-07 05:26:42.579+00
